State;House_id;Weight;House_relation;Sex;Age;Race;Marriage;Education;Ancestry;Language;Employment_status;Traveltime;Industry;Occupation;Hours;Weeks;Salary;Income;Earnings
Arizona;3661131;0035;02;2;71;1;1;06;022;0;6;000;000;000;00;00;000000;0005100;0000000
Arizona;3662943;0008;01;1;31;1;1;02;210;1;1;015;259;624;52;46;013500;0013500;0013500
Arizona;3662943;0010;02;2;31;1;1;01;210;1;6;000;000;000;00;00;000000;0000000;0000000
Arizona;3662943;0019;06;1;29;1;5;04;210;1;1;020;868;413;52;40;013700;0013700;0013700
Arizona;3662943;0008;03;1;12;1;5;04;210;1;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3662943;0011;03;1;11;1;5;03;210;1;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3662943;0013;03;2;06;1;5;02;210;2;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3663044;0016;01;2;70;9;2;06;211;0;6;000;000;000;00;00;000000;0006000;0000000
Arizona;3663044;0011;08;2;22;9;5;11;902;0;6;000;000;000;00;00;000000;0000000;0000000
Arizona;3666057;0021;01;1;36;8;1;09;210;1;1;020;077;666;52;55;024000;0024000;0024000
Arizona;3666057;0018;02;2;30;8;1;07;210;1;6;000;298;775;00;00;000000;0000000;0000000
Arizona;3666057;0022;03;1;11;8;5;03;211;1;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3666057;0016;03;2;07;8;5;02;996;1;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3666069;0021;01;1;28;8;5;13;051;2;1;010;787;161;36;20;016000;0016000;0016000
Arizona;3666069;0024;18;1;29;2;5;13;599;1;1;030;787;220;36;10;008000;0008000;0008000
Arizona;3677019;0016;01;2;37;1;5;11;290;2;6;000;817;422;00;00;000000;0019300;0000000
Arizona;3677019;0021;03;1;12;1;5;03;290;1;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3677019;0019;03;1;09;1;5;02;290;1;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3677019;0021;03;1;08;1;5;02;290;1;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3677019;0022;03;2;02;1;5;00;290;0;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3680980;0016;01;1;65;9;1;11;290;1;1;005;879;471;20;20;063000;0068500;0063000
Arizona;3680980;0016;02;2;62;9;1;03;211;3;6;000;000;000;00;00;000000;0004900;0000000
Arizona;3682957;0013;01;2;34;3;5;08;920;2;6;000;000;000;00;00;000000;0009600;0000000
Arizona;3682957;0016;15;1;38;3;5;09;920;2;6;000;000;000;00;00;000000;0016800;0000000
Arizona;3682957;0014;16;2;18;3;5;06;920;2;6;000;000;000;00;00;000000;0001500;0000000
Arizona;3688463;0027;01;1;50;8;1;09;210;1;6;000;047;913;40;40;030000;0030000;0030000
Arizona;3688463;0018;02;2;50;8;1;05;210;1;1;000;847;460;48;40;000000;0005000;0005000
Arizona;3688463;0027;03;2;17;8;5;09;210;1;6;000;000;000;00;00;000000;0000000;0000000
Arizona;3688463;0029;03;1;15;8;5;06;210;2;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3688463;0043;03;1;14;8;5;04;210;2;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3688463;0042;08;1;07;8;5;02;210;3;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3698512;0013;01;1;76;1;1;06;999;0;6;000;000;000;00;00;000000;0005600;0000000
Arizona;3698512;0011;02;2;66;1;1;09;925;0;6;000;000;000;00;00;000000;0000000;0000000
Arizona;3698512;0031;08;1;20;1;5;10;999;0;1;030;959;714;52;40;012000;0012000;0012000
Arizona;3698512;0022;11;2;38;1;1;09;999;0;6;000;000;000;00;00;000000;0002400;0000000
Arizona;3698813;0016;01;2;49;8;3;07;290;1;3;000;409;422;52;40;021000;0021000;0021000
Arizona;3698813;0013;03;1;20;8;5;07;290;0;6;000;000;000;00;00;000000;0000000;0000000
Arizona;3698813;0021;03;1;16;8;5;04;999;0;6;000;000;000;00;00;000000;0000000;0000000
Arizona;3698813;0019;03;1;13;8;5;03;290;0;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3701312;0040;01;2;21;1;5;11;195;0;1;045;787;243;08;40;004000;0004900;0004000
Arizona;3701312;0042;18;2;21;1;5;11;195;0;1;010;787;023;12;35;004800;0004800;0004800
Arizona;3701312;0039;18;2;22;1;5;11;195;0;1;010;787;243;52;10;010000;0010000;0010000
Arizona;3701312;0039;18;2;21;9;5;11;720;0;1;010;917;570;52;15;003500;0003500;0003500
Arizona;3707350;0016;01;1;41;2;5;13;902;0;6;000;617;913;52;40;000000;0030000;0030000
Arizona;3707350;0019;03;1;09;2;5;03;902;0;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3707350;0021;03;1;15;2;5;04;999;0;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3712264;0024;01;1;62;8;1;02;211;1;6;000;047;913;24;08;003100;0013100;0003100
Arizona;3712264;0024;02;2;67;8;1;02;210;0;6;000;000;000;00;00;000000;0000000;0000000
Arizona;3712264;0022;03;2;37;8;4;11;210;1;1;010;947;254;52;08;019000;0019000;0019000
Arizona;3712264;0018;08;2;12;8;5;03;211;1;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3712264;0021;08;2;06;8;5;02;211;1;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3714970;0018;01;2;48;1;1;14;026;0;1;015;787;220;52;40;049900;0152600;0114900
Arizona;3714970;0016;02;1;49;1;1;14;032;0;6;000;808;200;00;00;000000;0000880;0000000
Arizona;3714970;0016;03;2;15;1;5;04;012;0;0;000;000;000;00;00;000000;0002500;0000000
Arizona;3714970;0019;03;2;24;1;5;13;032;0;1;015;838;201;52;10;014900;0017800;0014900
Arizona;3721621;0016;01;2;31;1;3;09;032;0;1;040;497;470;52;43;039000;0039200;0039000
Arizona;3721621;0015;03;2;06;1;5;01;032;0;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3721621;0011;03;1;02;1;5;00;032;0;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3728071;0039;23;1;19;1;5;09;032;0;6;000;538;472;18;28;003000;0003000;0003000
Arizona;3734717;0021;01;1;51;1;1;09;210;2;6;000;939;526;02;40;019000;0019000;0019000
Arizona;3734717;0027;02;2;48;1;1;10;210;1;1;020;786;254;52;40;020000;0020000;0020000
Arizona;3734717;0016;03;2;15;1;5;06;210;2;0;000;000;000;00;00;000000;0001900;0000000
Arizona;3734717;0029;03;1;10;1;5;02;210;1;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3739400;0019;01;2;21;1;5;11;050;0;1;020;838;200;44;25;007000;0007000;0007000
Arizona;3740197;0027;01;1;53;1;1;09;295;1;1;060;039;644;52;40;036900;0037560;0036900
Arizona;3740197;0024;02;2;53;1;1;05;290;1;6;000;000;000;00;00;000000;0000000;0000000
Arizona;3740197;0024;03;2;17;1;5;07;295;0;6;000;000;000;00;00;000000;0000000;0000000
Arizona;3742609;0014;01;2;45;8;3;13;213;1;1;005;786;231;38;45;029000;0032000;0029000
Arizona;3742609;0016;03;1;17;8;5;06;210;1;6;000;868;405;00;00;000000;0000150;0000000
Arizona;3746722;0018;01;2;31;1;5;11;088;0;1;015;787;532;32;12;002000;0008000;0002000
Arizona;3754033;0040;23;2;21;9;1;11;210;0;1;005;787;582;21;05;002500;0002500;0002500
Arizona;3754500;0016;01;1;66;1;1;01;210;1;6;000;000;000;00;00;000000;0009800;0000000
Arizona;3754500;0019;02;2;56;1;1;09;210;1;6;000;000;000;00;00;000000;0000000;0000000
Arizona;3754500;0029;13;1;03;1;5;01;210;0;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3754500;0024;05;1;30;1;1;10;210;1;1;015;868;031;40;40;122000;0137000;0122000
Arizona;3754500;0032;08;1;00;1;5;00;210;0;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3754500;0024;10;2;21;1;1;09;210;1;6;000;000;000;00;00;000000;0000000;0000000
Arizona;3755905;0072;01;1;44;1;1;09;210;1;6;000;456;913;52;45;022900;0022900;0022900
Arizona;3755905;0063;02;2;42;1;1;09;210;1;1;030;557;476;12;27;001500;0001500;0001500
Arizona;3755905;0064;03;2;13;1;5;04;210;1;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3755905;0067;03;2;13;1;5;04;210;1;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3755905;0064;03;2;14;1;5;05;210;1;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3755905;0042;03;1;03;1;5;01;210;0;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3759056;0015;01;1;47;2;1;13;902;0;1;012;359;155;52;40;043000;0043000;0043000
Arizona;3759056;0019;02;2;45;2;1;13;902;0;3;000;817;313;38;35;028700;0028700;0028700
Arizona;3759056;0024;03;1;12;2;5;03;902;0;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3759056;0021;03;1;10;2;5;03;900;0;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3759259;0031;01;1;75;1;1;11;050;0;6;000;000;000;00;00;000000;0031020;0000000
Arizona;3759259;0030;02;2;64;8;1;04;210;0;6;000;868;402;00;00;000000;0004900;0000000
Arizona;3762910;0021;01;2;18;1;5;09;210;1;1;030;459;586;52;25;016600;0016600;0016600
Arizona;3762910;0027;03;1;01;1;5;00;210;0;0;000;000;000;00;00;000000;0000000;0000000
Arizona;3764173;0030;01;1;57;9;1;07;210;2;6;000;077;620;52;08;007200;0019900;0007200
Arizona;3764173;0026;02;2;54;9;1;07;210;1;6;000;000;000;00;00;000000;0000000;0000000
